emp_no,salary,from_date,to_date
11777,44999,1999-06-20,2000-06-19
11777,46138,2000-06-19,2001-06-19
11777,42027,1996-06-20,1997-06-20
11777,41529,1995-06-21,1996-06-20
11777,43891,1997-06-20,1998-06-20
11777,50061,2001-06-19,2002-06-19
11778,45706,1994-12-28,1995-12-28
11778,50711,1996-12-27,1997-12-27
11778,54737,1999-12-27,2000-12-26
11778,52878,1997-12-27,1998-12-27
11778,41350,1993-12-28,1994-12-28
11778,47838,1995-12-28,1996-12-27
11778,58196,2001-12-26,9999-01-01
11778,54567,1998-12-27,1999-12-27
11778,54778,2000-12-26,2001-12-26
11779,47914,1999-11-21,2000-11-20
11779,49460,2001-11-20,9999-01-01
11779,47788,2000-11-20,2001-11-20
11779,44360,1997-11-21,1998-11-21
11779,45122,1998-11-21,1999-11-21
11780,61505,1994-09-09,1995-09-09
11780,72282,2001-09-07,9999-01-01
11780,64308,1996-09-08,1997-09-08
11780,55452,1991-09-10,1992-09-09
11780,64091,1997-09-08,1998-09-08
11780,70270,2000-09-07,2001-09-07
11780,53920,1990-09-10,1991-09-10
11780,57144,1992-09-09,1993-09-09
11780,50691,1988-09-10,1989-09-10
11780,66819,1999-09-08,2000-09-07
11780,66638,1998-09-08,1999-09-08
11780,51904,1989-09-10,1990-09-10
11780,61255,1993-09-09,1994-09-09
11780,63548,1995-09-09,1996-09-08
11780,49009,1987-09-11,1988-09-10
11781,70263,1998-12-04,1999-12-04
11781,72405,1999-12-04,2000-12-03
11781,74169,2001-12-03,9999-01-01
11781,67981,1997-12-04,1998-12-04
11781,73870,2000-12-03,2001-12-03
11782,60996,2002-01-29,9999-01-01
11782,50535,1997-01-30,1998-01-30
11782,60104,2001-01-29,2002-01-29
11782,44449,1994-01-31,1995-01-31
11782,45350,1995-01-31,1996-01-31
11782,43279,1993-01-31,1994-01-31
11782,56526,1999-01-30,2000-01-30
11782,46311,1996-01-31,1997-01-30
11782,54927,1998-01-30,1999-01-30
11782,43466,1992-02-01,1993-01-31
11782,60590,2000-01-30,2001-01-29
11783,57081,2001-07-12,2002-07-12
11783,52682,2000-07-12,2001-07-12
11783,43480,1995-07-14,1996-07-13
11783,49889,1998-07-13,1999-07-13
11783,46178,1997-07-13,1998-07-13
11783,46069,1996-07-13,1997-07-13
11783,61071,2002-07-12,9999-01-01
11783,52103,1999-07-13,2000-07-12
11784,58447,1995-12-07,1996-12-06
11784,62902,1996-12-06,1997-10-28
11785,115157,1996-07-02,1997-07-02
11785,117273,1999-07-02,2000-07-01
11785,122415,2002-07-01,9999-01-01
11785,115249,1998-07-02,1999-07-02
11785,111231,1995-07-03,1996-07-02
11785,121741,2000-07-01,2001-07-01
11785,115255,1997-07-02,1998-07-02
11785,121620,2001-07-01,2002-07-01
11786,42466,1997-02-27,1998-02-27
11786,46129,2000-02-27,2001-02-26
11786,42656,1999-02-27,2000-02-27
11786,42034,1998-02-27,1999-02-27
11786,50570,2001-02-26,2002-02-26
11786,53378,2002-02-26,9999-01-01
11787,51170,1995-01-09,1996-01-09
11787,44720,1993-01-09,1994-01-09
11787,40828,1991-01-10,1992-01-10
11787,44585,1992-01-10,1993-01-09
11787,54913,1996-01-09,1997-01-08
11787,47908,1994-01-09,1995-01-09
11678,74017,1996-02-22,1997-02-21
11678,94144,2002-02-20,9999-01-01
11678,81691,1998-02-21,1999-02-21
11678,77920,1997-02-21,1998-02-21
11678,90439,2001-02-20,2002-02-20
11678,71422,1995-02-22,1996-02-22
11678,89205,2000-02-21,2001-02-20
11678,84722,1999-02-21,2000-02-21
11679,65772,1998-12-31,1999-12-31
11679,55841,1994-01-01,1995-01-01
11679,53291,1993-01-01,1994-01-01
11679,55633,1995-01-01,1996-01-01
11679,51390,1992-01-02,1993-01-01
11679,69740,2001-12-30,9999-01-01
11679,68396,2000-12-30,2001-12-30
11679,47190,1991-01-02,1992-01-02
11679,65037,1997-12-31,1998-12-31
11679,65311,1999-12-31,2000-12-30
11679,58450,1996-01-01,1996-12-31
11679,61718,1996-12-31,1997-12-31
11680,83856,1995-10-05,1996-10-04
11680,83768,1994-10-05,1995-10-05
11680,88308,1997-10-04,1998-10-04
11680,92119,1998-10-04,1999-10-04
11680,98173,2001-10-03,9999-01-01
11680,96090,1999-10-04,2000-10-03
11680,86717,1996-10-04,1997-10-04
11680,97357,2000-10-03,2001-10-03
11681,71236,2000-08-24,2001-08-24
11681,40713,1989-08-27,1990-08-27
11681,71032,1999-08-25,2000-08-24
11681,66929,1998-08-25,1999-08-25
11681,48211,1991-08-27,1992-08-26
11681,44232,1990-08-27,1991-08-27
11681,72576,2001-08-24,9999-01-01
11681,56000,1994-08-26,1995-08-26
11681,52018,1992-08-26,1993-08-26
11681,52686,1993-08-26,1994-08-26
11681,60486,1995-08-26,1996-08-25
11681,66395,1997-08-25,1998-08-25
11681,64555,1996-08-25,1997-08-25
11682,55860,1991-11-26,1992-11-25
11682,48241,1986-11-27,1987-11-27
11682,66109,1997-11-24,1998-11-24
11682,53711,1988-11-26,1989-11-26
11682,56003,1990-11-26,1991-11-26
11682,72596,2001-11-23,9999-01-01
11682,51468,1987-11-27,1988-11-26
11682,69927,1999-11-24,2000-11-23
11682,69651,1998-11-24,1999-11-24
11682,60812,1995-11-25,1996-11-24
11682,64505,1996-11-24,1997-11-24
11682,71354,2000-11-23,2001-11-23
11682,56833,1992-11-25,1993-11-25
11682,55022,1989-11-26,1990-11-26
11682,59548,1994-11-25,1995-11-25
11682,58816,1993-11-25,1994-11-25
11683,51244,2001-01-19,2002-01-19
11683,41488,1997-01-20,1998-01-20
11683,47902,2000-01-20,2001-01-19
11683,45282,1999-01-20,2000-01-20
11683,55079,2002-01-19,9999-01-01
11683,44932,1998-01-20,1999-01-20
11684,82371,1991-02-20,1992-02-20
11684,68753,1986-02-21,1987-02-21
11684,74608,1989-02-20,1990-02-20
11684,108212,1999-02-18,2000-02-18
11684,92495,1995-02-19,1996-02-19
11684,104070,1998-02-18,1999-02-18
11684,71906,1988-02-21,1989-02-20
11684,77979,1990-02-20,1991-02-20
11684,100835,1997-02-18,1998-02-18
11684,91867,1994-02-19,1995-02-19
11684,96409,1996-02-19,1997-02-18
11684,113253,2001-02-17,2002-02-17
11684,85089,1992-02-20,1993-02-19
11684,69358,1987-02-21,1988-02-21
11684,88953,1993-02-19,1994-02-19
11684,108816,2000-02-18,2001-02-17
11684,113241,2002-02-17,9999-01-01
11685,42410,2002-06-30,9999-01-01
11685,39522,2000-06-30,2001-06-30
11685,40810,2001-06-30,2002-06-30
11686,47209,2000-04-19,2000-07-22
11686,44296,1997-04-20,1998-04-20
11686,41077,1996-04-20,1997-04-20
11686,47127,1999-04-20,2000-04-19
11686,46520,1998-04-20,1999-04-20
11687,61317,2002-03-20,9999-01-01
11687,46577,1996-03-21,1997-03-21
11687,44342,1994-03-22,1995-03-22
11687,54797,2000-03-20,2001-03-20
11687,58498,2001-03-20,2002-03-20
11687,47538,1997-03-21,1998-03-21
11687,42476,1993-03-22,1994-03-22
11687,48435,1998-03-21,1999-03-21
11687,46576,1995-03-22,1996-03-21
11687,52613,1999-03-21,2000-03-20
11688,76359,2001-10-27,9999-01-01
11688,68239,1997-10-27,1998-10-27
11688,71081,1998-10-27,1999-10-28
11688,70754,1999-10-28,2000-10-27
11688,63949,1995-10-29,1996-10-27
11688,62954,1994-10-29,1995-10-29
11688,72898,2000-10-27,2001-10-27
11688,65121,1996-10-27,1997-10-27
11689,92245,1990-11-08,1991-11-08
11689,101119,1994-11-07,1995-11-07
11689,92778,1991-11-08,1992-11-07
11689,116433,2001-11-05,9999-01-01
11689,103196,1997-11-06,1998-11-06
11689,110937,1999-11-06,2000-11-05
11689,112411,2000-11-05,2001-11-05
11689,99502,1993-11-07,1994-11-07
11689,101299,1995-11-07,1996-11-06
11689,96580,1992-11-07,1993-11-07
11689,106772,1998-11-06,1999-11-06
11689,102125,1996-11-06,1997-11-06
11689,88980,1989-11-08,1990-11-08
11690,50827,2001-09-22,9999-01-01
11690,47389,1999-09-23,2000-09-22
11690,49910,2000-09-22,2001-09-22
11690,45533,1998-09-23,1999-09-23
11690,44420,1997-09-23,1998-09-23
11691,57103,1997-04-01,1998-04-01
11691,60788,1999-04-01,2000-03-31
11691,46240,1989-04-04,1990-04-04
11691,62587,2001-03-31,2002-03-31
11691,48835,1992-04-02,1993-04-02
11691,48558,1990-04-04,1991-04-03
11691,51745,1993-04-02,1994-04-02
11691,57318,1996-04-01,1997-04-01
11691,48365,1991-04-03,1992-04-02
11691,64209,2002-03-31,9999-01-01
11691,54865,1994-04-02,1995-04-03
11691,62790,2000-03-31,2001-03-31
11691,57400,1995-04-03,1996-04-01
11691,59577,1998-04-01,1999-04-01
11692,65943,1993-04-19,1994-04-19
11692,61845,1989-04-20,1990-04-20
11692,79295,2000-04-17,2001-04-17
11692,66248,1992-04-19,1993-04-19
11692,71349,1995-04-19,1996-04-18
11692,63064,1990-04-20,1991-04-20
11692,66182,1991-04-20,1992-04-19
11692,78171,1998-04-18,1999-04-18
11692,79663,1999-04-18,2000-04-17
11692,74449,1996-04-18,1997-04-18
11692,81037,2001-04-17,2002-04-17
11692,80678,2002-04-17,9999-01-01
11692,76757,1997-04-18,1998-04-18
11692,69886,1994-04-19,1995-04-19
11693,91258,1998-08-22,1999-08-22
11693,86865,1997-08-22,1998-08-22
11693,70403,1991-08-24,1992-08-23
11693,97681,2000-08-21,2001-08-21
11693,83059,1995-08-23,1996-08-22
11693,101179,2001-08-21,9999-01-01
11693,86434,1996-08-22,1997-08-22
11693,74535,1992-08-23,1993-08-23
11693,78497,1993-08-23,1994-08-23
11693,80506,1994-08-23,1995-08-23
11693,94735,1999-08-22,2000-08-21
11694,53367,2000-03-28,2001-03-28
11694,57530,2001-03-28,2002-03-28
11694,47986,1993-03-30,1994-03-30
11694,49318,1995-03-30,1996-03-29
11694,43992,1991-03-31,1992-03-30
11694,52949,1999-03-29,2000-03-28
11694,57056,2002-03-28,9999-01-01
11694,43884,1992-03-30,1993-03-30
11694,52539,1998-03-29,1999-03-29
11694,48417,1994-03-30,1995-03-30
11694,49562,1996-03-29,1997-03-29
11694,43985,1990-03-31,1991-03-31
11694,51233,1997-03-29,1998-03-29
11695,46989,1989-04-26,1990-04-21
11696,63371,1992-10-21,1993-10-21
11696,57300,1988-10-22,1989-10-22
11696,68674,1996-10-20,1997-10-20
11696,54304,1987-10-23,1988-10-22
11696,81071,2001-10-19,9999-01-01
11696,74947,1998-10-20,1999-10-20
11696,81538,2000-10-19,2001-10-19
11696,51633,1985-10-23,1986-10-23
11696,52672,1986-10-23,1987-10-23
11696,59065,1989-10-22,1990-10-22
11696,66475,1993-10-21,1994-10-21
11696,66844,1994-10-21,1995-10-21
11696,77784,1999-10-20,2000-10-19
11696,62788,1991-10-22,1992-10-21
11696,72712,1997-10-20,1998-10-20
11696,68200,1995-10-21,1996-10-20
11696,59354,1990-10-22,1991-10-22
11697,45619,2001-12-09,9999-01-01
11697,44268,1999-12-10,2000-12-09
11697,45783,2000-12-09,2001-12-09
11698,98535,2000-07-30,2001-07-30
11698,93384,1998-07-31,1999-07-31
11698,94418,1999-07-31,2000-07-30
11698,99453,2001-07-30,2002-07-30
11698,100669,2002-07-30,9999-01-01
11698,92931,1997-07-31,1998-07-31
11699,55012,2002-01-18,9999-01-01
11699,41198,1995-01-20,1996-01-20
11699,49743,1999-01-19,2000-01-19
11699,44745,1997-01-19,1998-01-19
11699,52801,2000-01-19,2001-01-18
11699,44501,1996-01-20,1997-01-19
11699,53374,2001-01-18,2002-01-18
11699,47082,1998-01-19,1999-01-19
11700,57202,1995-06-17,1996-06-16
11700,64237,1998-06-16,1999-06-16
11700,66406,1999-06-16,2000-06-15
11700,68355,2002-06-15,9999-01-01
11700,59488,1996-06-16,1997-06-16
11700,51475,1993-06-17,1994-06-17
11700,52792,1994-06-17,1995-06-17
11700,66911,2000-06-15,2001-06-15
11700,62782,1997-06-16,1998-06-16
11700,68795,2001-06-15,2002-06-15
11701,67902,1999-08-09,2000-08-08
11701,61097,1997-08-09,1998-08-09
11701,73119,2001-08-08,9999-01-01
11701,65342,1998-08-09,1999-08-09
11701,72342,2000-08-08,2001-08-08
11702,94495,1988-09-18,1989-09-18
11702,108210,1992-09-17,1993-09-17
11702,111291,1994-09-17,1995-09-14
11702,109127,1993-09-17,1994-09-17
11702,106398,1991-09-18,1992-09-17
11702,98784,1989-09-18,1990-09-18
11702,102194,1990-09-18,1991-09-18
11703,51840,1995-07-22,1996-07-21
11703,63225,2001-07-20,2002-07-20
11703,57649,1997-07-21,1998-07-21
11703,54228,1996-07-21,1997-07-21
11703,65912,2002-07-20,9999-01-01
11703,62631,2000-07-20,2001-07-20
11703,45856,1992-07-22,1993-07-22
11703,41119,1990-07-23,1991-07-23
11703,58551,1999-07-21,2000-07-20
11703,51176,1994-07-22,1995-07-22
11703,58893,1998-07-21,1999-07-21
11703,42655,1991-07-23,1992-07-22
11703,49324,1993-07-22,1994-07-22
11704,60279,2002-04-03,9999-01-01
11704,53189,2000-04-03,2001-04-03
11704,56393,2001-04-03,2002-04-03
11704,48727,1999-04-04,2000-04-03
11705,81551,1986-10-30,1987-10-30
11705,87269,1990-10-29,1991-10-29
11705,85432,1988-10-29,1989-10-29
11705,84285,1987-10-30,1988-10-29
11705,91266,1991-10-29,1992-10-28
11705,85722,1989-10-29,1990-10-29
11705,91655,1992-10-28,1993-10-28
11705,79701,1985-10-30,1986-10-30
11705,93664,1993-10-28,1994-06-30
11706,64148,2002-03-23,9999-01-01
11706,61482,1999-03-24,2000-03-23
11706,62372,2001-03-23,2002-03-23
11706,61798,2000-03-23,2001-03-23
11707,74603,2002-04-04,9999-01-01
11707,65044,1997-04-05,1998-04-06
11707,68556,1999-04-06,2000-04-05
11707,62891,1996-04-05,1997-04-05
11707,68432,1998-04-06,1999-04-06
11707,72058,2001-04-05,2002-04-04
11707,55379,1994-04-07,1995-04-07
11707,59429,1995-04-07,1996-04-05
11707,71438,2000-04-05,2001-04-05
11708,73868,1995-09-18,1996-07-28
11708,69751,1993-09-18,1994-09-18
11708,68112,1992-09-18,1993-09-18
11708,70738,1994-09-18,1995-09-18
11709,60705,1991-11-08,1992-11-07
11709,54024,1989-11-08,1990-11-08
11709,47531,1986-11-09,1987-11-09
11709,49167,1987-11-09,1988-11-08
11709,65024,1996-11-06,1997-11-06
11709,53609,1988-11-08,1989-11-08
11709,57974,1990-11-08,1991-11-08
11709,65269,1995-11-07,1996-11-06
11709,70468,2000-11-05,2001-11-05
11709,64709,1994-11-07,1995-11-07
11709,65620,1997-11-06,1998-11-06
11709,73422,2001-11-05,9999-01-01
11709,67420,1998-11-06,1999-11-06
11709,60935,1992-11-07,1993-11-07
11709,69119,1999-11-06,2000-11-05
11709,43381,1985-11-09,1986-11-09
11709,64971,1993-11-07,1994-11-07
11710,43006,1999-11-06,2000-05-07
11710,41951,1998-11-06,1999-11-06
11711,66068,1997-06-13,1998-06-13
11711,53170,1990-06-15,1991-06-15
11711,55981,1991-06-15,1992-06-14
11711,61596,1993-06-14,1994-06-14
11711,61103,1994-06-14,1995-06-14
11711,62261,1996-06-13,1997-06-13
11711,68522,1999-06-13,2000-06-12
11711,58478,1992-06-14,1993-06-14
11711,68380,2000-06-12,2001-06-12
11711,61665,1995-06-14,1996-06-13
11711,70806,2002-06-12,9999-01-01
11711,69033,2001-06-12,2002-06-12
11711,68640,1998-06-13,1999-06-13
11712,43151,2002-06-10,9999-01-01
11712,43549,2001-06-10,2002-06-10
11712,41362,2000-06-10,2001-06-10
11713,65313,1998-10-03,1999-10-03
11713,60921,1997-10-03,1998-10-03
11713,66766,2001-10-02,9999-01-01
11713,67212,2000-10-02,2001-10-02
11713,66708,1999-10-03,2000-10-02
11713,53387,1994-10-04,1995-10-04
11713,59339,1996-10-03,1997-10-03
11713,57539,1995-10-04,1996-10-03
11715,59403,2002-02-20,9999-01-01
11715,53245,2000-02-21,2001-02-20
11715,48995,1998-02-21,1999-02-21
11715,50888,1999-02-21,2000-02-21
11715,55767,2001-02-20,2002-02-20
11716,43687,1990-05-09,1991-05-09
11716,51831,1995-05-08,1996-05-07
11716,59178,1998-05-07,1999-05-07
11716,63786,2000-05-06,2001-05-06
11716,52019,1994-05-08,1995-05-08
11716,49689,1992-05-08,1993-05-08
11716,53984,1996-05-07,1997-05-07
11716,56927,1997-05-07,1998-05-07
11716,70203,2002-05-06,9999-01-01
11716,45895,1991-05-09,1992-05-08
11716,66131,2001-05-06,2002-05-06
11716,51483,1993-05-08,1994-05-08
11716,61545,1999-05-07,2000-05-06
11717,58955,1990-09-10,1991-09-10
11717,63115,1992-09-09,1993-09-09
11717,61490,1991-09-10,1992-09-09
11717,63945,1993-09-09,1994-04-08
11718,65466,2000-01-01,2000-12-31
11718,65318,2000-12-31,2001-12-31
11718,68521,2001-12-31,9999-01-01
11718,60112,1998-01-01,1999-01-01
11718,61980,1999-01-01,2000-01-01
11719,86787,2001-01-18,2002-01-18
11719,89138,2002-01-18,9999-01-01
11719,80058,1998-01-19,1999-01-19
11719,85954,2000-01-19,2001-01-18
11719,81803,1999-01-19,2000-01-19
11719,76415,1996-01-20,1997-01-19
11719,78737,1997-01-19,1998-01-19
11720,50234,1997-08-18,1998-08-18
11720,50942,1995-08-19,1996-08-18
11720,50476,1996-08-18,1997-08-18
11720,42695,1993-08-19,1994-08-19
11720,41731,1992-08-19,1993-08-19
11720,59099,2001-08-17,9999-01-01
11720,55012,1999-08-18,2000-08-17
11720,58226,2000-08-17,2001-08-17
11720,54460,1998-08-18,1999-08-18
11720,46923,1994-08-19,1995-08-19
11721,50629,1997-11-28,1998-11-28
11721,50700,1995-11-29,1996-11-28
11721,50650,1994-11-29,1995-11-29
11721,46907,1992-11-29,1993-11-29
11721,54818,2001-11-27,9999-01-01
11721,43337,1991-11-30,1992-11-29
11721,50047,1999-11-28,2000-11-27
11721,50740,1996-11-28,1997-11-28
11721,47861,1993-11-29,1994-11-29
11721,50407,1998-11-28,1999-11-28
11721,52318,2000-11-27,2001-11-27
11722,51542,2000-12-17,2001-12-17
11722,43862,1998-12-18,1999-12-18
11722,47293,1999-12-18,2000-12-17
11722,54690,2001-12-17,9999-01-01
11723,108725,2001-09-24,9999-01-01
11723,93216,1993-09-26,1994-09-26
11723,101903,1997-09-25,1998-09-25
11723,91895,1992-09-26,1993-09-26
11723,101887,1998-09-25,1999-09-25
11723,105502,2000-09-24,2001-09-24
11723,105344,1999-09-25,2000-09-24
11723,96580,1995-09-26,1996-09-25
11723,96023,1994-09-26,1995-09-26
11723,99566,1996-09-25,1997-09-25
11724,47371,1997-09-25,1998-09-25
11724,47603,1998-09-25,1999-09-25
11724,49544,1999-09-25,2000-05-12
11724,43243,1996-09-25,1997-09-25
11725,68364,1999-09-13,2000-09-12
11725,64192,1997-09-13,1998-09-13
11725,52596,1992-09-14,1993-09-14
11725,44854,1990-09-15,1991-09-15
11725,48793,1991-09-15,1992-09-14
11725,42712,1989-09-15,1990-09-15
11725,60415,1996-09-13,1997-09-13
11725,59633,1995-09-14,1996-09-13
11725,59460,1994-09-14,1995-09-14
11725,56440,1993-09-14,1994-09-14
11725,41545,1988-09-15,1989-09-15
11725,72764,2000-09-12,2001-07-16
11725,66283,1998-09-13,1999-09-13
11726,68091,2000-05-26,2001-05-26
11726,46402,1991-05-29,1992-05-28
11726,61573,1998-05-27,1999-05-27
11726,57409,1996-05-27,1997-05-27
11726,53193,1993-05-28,1994-05-28
11726,56754,1995-05-28,1996-05-27
11726,65459,1999-05-27,2000-05-26
11726,69272,2001-05-26,2002-05-26
11726,57633,1997-05-27,1998-05-27
11726,50372,1992-05-28,1993-05-28
11726,46017,1990-05-29,1991-05-29
11726,70106,2002-05-26,9999-01-01
11726,57175,1994-05-28,1995-05-28
11727,54335,1992-03-07,1993-03-07
11727,59735,1994-03-07,1995-03-07
11727,73407,1999-03-06,2000-03-05
11727,77671,2002-03-05,9999-01-01
11727,69394,1997-03-06,1998-03-06
11727,72903,1998-03-06,1999-03-06
11727,58337,1993-03-07,1994-03-07
11727,77101,2001-03-05,2002-03-05
11727,61748,1995-03-07,1996-03-06
11727,64966,1996-03-06,1997-03-06
11727,73029,2000-03-05,2001-03-05
11728,57498,1995-12-11,1996-12-10
11728,68386,1999-12-10,2000-12-09
11728,71880,2000-12-09,2001-12-09
11728,73336,2001-12-09,9999-01-01
11728,59504,1996-12-10,1997-12-10
11728,41427,1989-12-12,1990-12-12
11728,49879,1992-12-11,1993-12-11
11728,63624,1997-12-10,1998-12-10
11728,47573,1991-12-12,1992-12-11
11728,44967,1990-12-12,1991-12-12
11728,65129,1998-12-10,1999-12-10
11728,51525,1993-12-11,1994-12-11
11728,53003,1994-12-11,1995-12-11
11729,75926,1993-07-19,1994-07-19
11729,78143,1994-07-19,1994-12-30
11730,97262,1998-11-13,1999-11-13
11730,100623,2000-11-12,2001-11-12
11730,99420,1999-11-13,2000-11-12
11730,101194,2001-11-12,9999-01-01
11730,97213,1997-11-13,1998-11-13
11731,45818,1998-12-18,1999-12-18
11731,50220,2000-12-17,2001-12-17
11731,43036,1997-12-18,1998-12-18
11731,50038,1999-12-18,2000-12-17
11731,50729,2001-12-17,9999-01-01
11732,43019,2000-12-21,2001-12-21
11732,43286,1999-12-22,2000-12-21
11732,41618,1998-12-22,1999-12-22
11732,47113,2001-12-21,9999-01-01
11732,40211,1997-12-22,1998-12-22
11733,55171,1997-01-10,1998-01-10
11733,49578,1994-01-11,1995-01-11
11733,51055,1996-01-11,1997-01-10
11733,48218,1993-01-11,1994-01-11
11733,66417,2001-01-09,2002-01-09
11733,63501,2000-01-10,2001-01-09
11733,46092,1992-01-12,1993-01-11
11733,66778,2002-01-09,9999-01-01
11733,51222,1995-01-11,1996-01-11
11733,59687,1999-01-10,2000-01-10
11733,59401,1998-01-10,1999-01-10
11734,52495,2001-08-08,9999-01-01
11734,49551,1999-08-09,2000-08-08
11734,52730,2000-08-08,2001-08-08
11734,49728,1998-08-09,1999-08-09
11735,48553,1993-07-13,1994-07-13
11735,52410,1994-07-13,1995-07-13
11735,62961,2001-07-11,2002-07-11
11735,59901,1998-07-12,1999-07-12
11735,59784,1999-07-12,2000-07-11
11735,59268,1996-07-12,1997-07-12
11735,47293,1992-07-13,1993-07-13
11735,42678,1990-07-14,1991-07-14
11735,41594,1989-07-14,1990-07-14
11735,62659,2000-07-11,2001-07-11
11735,64470,2002-07-11,9999-01-01
11735,46833,1991-07-14,1992-07-13
11735,59338,1997-07-12,1998-07-12
11735,55370,1995-07-13,1996-07-12
11736,45359,1996-03-06,1997-03-06
11736,53353,1999-03-06,2000-03-05
11736,54326,2000-03-05,2001-03-05
11736,44127,1994-03-07,1995-03-07
11736,61013,2002-03-05,9999-01-01
11736,50413,1998-03-06,1999-03-06
11736,48743,1997-03-06,1998-03-06
11736,57186,2001-03-05,2002-03-05
11736,44079,1995-03-07,1996-03-06
11737,53494,1997-07-10,1998-07-10
11737,62095,2002-07-09,9999-01-01
11737,58874,2001-07-09,2002-07-09
11737,57707,2000-07-09,2001-07-09
11737,48832,1995-07-11,1996-07-10
11737,56944,1999-07-10,2000-07-09
11737,54026,1998-07-10,1999-07-10
11737,50014,1996-07-10,1997-07-10
11738,58432,1986-06-19,1987-06-19
11738,64627,1992-06-17,1993-06-17
11738,69853,1994-06-17,1995-06-17
11738,61178,1990-06-18,1991-06-18
11738,67758,1993-06-17,1994-06-17
11738,60283,1988-06-18,1989-06-18
11738,59943,1989-06-18,1990-06-18
11738,70085,1995-06-17,1995-06-27
11738,64261,1991-06-18,1992-06-17
11738,60125,1987-06-19,1988-06-18
11739,58546,2001-03-18,2002-03-18
11739,43666,1993-03-20,1994-03-20
11739,47037,1995-03-20,1996-03-19
11739,47354,1997-03-19,1998-03-19
11739,46554,1996-03-19,1997-03-19
11739,59938,2002-03-18,9999-01-01
11739,55577,2000-03-18,2001-03-18
11739,52637,1999-03-19,2000-03-18
11739,48817,1998-03-19,1999-03-19
11739,45524,1994-03-20,1995-03-20
11740,96340,1994-09-01,1995-09-01
11740,81026,1988-09-02,1989-09-02
11740,78899,1987-09-03,1988-09-02
11740,85807,1990-09-02,1991-09-02
11740,104749,1999-08-31,2000-08-30
11740,86465,1991-09-02,1992-09-01
11740,101732,1998-08-31,1999-08-31
11740,90948,1992-09-01,1993-09-01
11740,109567,2001-08-30,9999-01-01
11740,100427,1996-08-31,1997-08-31
11740,82597,1989-09-02,1990-09-02
11740,79335,1986-09-03,1987-09-03
11740,100629,1995-09-01,1996-08-31
11740,107774,2000-08-30,2001-08-30
11740,94838,1993-09-01,1994-09-01
11740,101403,1997-08-31,1998-08-31
11741,59925,1989-02-04,1990-02-04
11741,74089,1996-02-03,1997-02-02
11741,60279,1990-02-04,1991-02-04
11741,67403,1994-02-03,1995-02-03
11741,62026,1991-02-04,1992-02-04
11741,69660,1995-02-03,1996-02-03
11741,78645,1999-02-02,2000-02-02
11741,62611,1992-02-04,1993-02-03
11741,78929,1998-02-02,1999-02-02
11741,79405,2000-02-02,2001-02-01
11741,84493,2002-02-01,9999-01-01
11741,76671,1997-02-02,1998-02-02
11741,66688,1993-02-03,1994-02-03
11741,81718,2001-02-01,2002-02-01
11742,58739,1997-04-12,1998-04-12
11742,63753,2001-04-11,2002-04-11
11742,62262,2000-04-11,2001-04-11
11742,63774,2002-04-11,9999-01-01
11742,61986,1999-04-12,2000-04-11
11742,56759,1996-04-12,1997-04-12
11742,60608,1998-04-12,1999-04-12
11743,61335,2002-06-17,9999-01-01
11743,60068,2001-06-17,2002-06-17
11743,57977,2000-06-17,2001-06-17
11743,57591,1999-06-18,2000-06-17
11744,51977,1995-08-22,1996-08-21
11744,45237,1992-08-22,1993-08-22
11744,44354,1991-08-23,1992-08-22
11744,55177,1997-08-21,1998-08-21
11744,50057,1994-08-22,1995-08-22
11744,58982,1999-08-21,2000-01-18
11744,55153,1996-08-21,1997-08-21
11744,56414,1998-08-21,1999-08-21
11744,41725,1990-08-23,1991-08-23
11744,46085,1993-08-22,1994-08-22
11745,50451,2000-12-11,2001-12-11
11745,53298,2001-12-11,9999-01-01
11745,48355,1999-12-12,2000-12-11
11746,83529,2001-11-14,9999-01-01
11746,55951,1988-11-17,1989-11-17
11746,68152,1992-11-16,1993-11-16
11746,59108,1989-11-17,1990-11-17
11746,70916,1993-11-16,1994-11-16
11746,80085,1998-11-15,1999-11-15
11746,63006,1990-11-17,1991-11-17
11746,74832,1996-11-15,1997-11-15
11746,66410,1991-11-17,1992-11-16
11746,70615,1994-11-16,1995-11-16
11746,78922,1997-11-15,1998-11-15
11746,82750,2000-11-14,2001-11-14
11746,73378,1995-11-16,1996-11-15
11746,82473,1999-11-15,2000-11-14
11747,97577,1990-02-19,1991-02-19
11747,105894,1993-02-18,1994-02-18
11747,118384,1998-02-17,1999-01-16
11747,109854,1994-02-18,1995-02-18
11747,90239,1986-02-20,1987-02-20
11747,102441,1992-02-19,1993-02-18
11747,92358,1988-02-20,1989-02-19
11747,93532,1989-02-19,1990-02-19
11747,114634,1996-02-18,1997-02-17
11747,101071,1991-02-19,1992-02-19
11747,90435,1987-02-20,1988-02-20
11747,111202,1995-02-18,1996-02-18
11747,115786,1997-02-17,1998-02-17
11748,65522,2000-07-23,2001-07-23
11748,64543,1999-07-24,2000-07-23
11748,70230,2002-07-23,9999-01-01
11748,61945,1998-07-24,1999-07-24
11748,54491,1996-07-24,1997-07-24
11748,58518,1997-07-24,1998-07-24
11748,67975,2001-07-23,2002-07-23
11749,49654,2000-07-01,2001-07-01
11749,41474,1998-07-02,1999-07-02
11749,54509,2002-07-01,9999-01-01
11749,51185,2001-07-01,2002-07-01
11749,45615,1999-07-02,2000-07-01
